Ticket_ID,Date,User_Type,Unit_Dept,Issue_Category,Issue_Description,Priority,Response_Time_Hrs,Resolution_Time_Hrs,Status,Resolved,Response_SLA
HD0048,6/2/2026,Student,College of Computing Sciences,Admission,Admission status not displaying,High,1.21,17.15,In Progress,No,Within 8 Hours
HD0049,2/3/2026,Staff,College of Engineering,Portal,Student profile not displaying correctly,Medium,3.06,4.71,Closed,Yes,Within 8 Hours
HD0050,6/29/2026,Staff,College of Agricultural Management,Email,University email not working,Medium,2.61,3.94,Closed,Yes,Within 8 Hours
HD0051,6/13/2026,Student,College of Agricultural Management,Admission,Admission status not displaying,High,0.69,4.73,Closed,Yes,Within 8 Hours
HD0052,3/29/2026,Postgraduate Student,Academic Planning,Software/MIS,Software installation request,Medium,2.15,3.99,Closed,Yes,Within 8 Hours
HD0053,6/11/2026,Student,College of Veterinary Medicine,Payment/Invoice,Receipt cannot be generated,Medium,2.38,7.15,Closed,Yes,Within 8 Hours
HD0054,3/28/2026,Student,Library,Registration,Course allocation not updating,High,4.23,7.41,Closed,Yes,Within 8 Hours
HD0055,6/23/2026,Student,Postgraduate School,Registration,Registered course not displaying,Medium,3,4.95,Closed,Yes,Within 8 Hours
HD0056,6/10/2026,Student,Library,Payment/Invoice,Invoice not generated,Low,1.32,13.15,Pending,No,Within 8 Hours
HD0057,6/21/2026,Student,College of Food Science,Registration,Course allocation not updating,Medium,2.69,25.76,Closed,Yes,Within 8 Hours
HD0058,5/3/2026,Postgraduate Student,Library,Clearance,Unable to complete online clearance,High,1.35,8.04,Closed,Yes,Within 8 Hours
HD0059,5/28/2026,Student,College of Animal Science,Internet/Network,Cannot access campus Internet,High,1.47,3.64,Closed,Yes,Within 8 Hours
HD0060,4/29/2026,Student,College of Food Science,Student Information,Student information request,Medium,4.87,37.23,In Progress,No,Within 8 Hours
HD0061,6/14/2026,Postgraduate Student,ICTREC,Registration,Unable to submit course registration,High,2.32,3.66,Closed,Yes,Within 8 Hours
HD0062,2/9/2026,Student,Student Affairs,Registration,Unable to submit course registration,Medium,5.62,2.09,Closed,Yes,Within 8 Hours
HD0063,4/21/2026,Student,Registry,Payment/Invoice,Receipt cannot be generated,Medium,3.59,22.84,Closed,Yes,Within 8 Hours
HD0064,6/1/2026,Staff,Academic Planning,Software/MIS,Application access problem,High,0.87,24.88,Closed,Yes,Within 8 Hours
HD0065,4/22/2026,Staff,Student Affairs,Portal,Portal session keeps expiring,High,1.58,3.64,Closed,Yes,Within 8 Hours
HD0066,4/14/2026,Postgraduate Student,College of Animal Science,Admission,Admission application issue,Low,1.62,2.79,Closed,Yes,Within 8 Hours
HD0067,5/21/2026,Postgraduate Student,ICTREC,Admission,O'Level verification problem,High,0.84,8.47,Closed,Yes,Within 8 Hours
HD0068,1/17/2026,Student,Registry,Payment/Invoice,Receipt cannot be generated,Low,2.29,8.22,Closed,Yes,Within 8 Hours
HD0069,4/22/2026,Student,Postgraduate School,Payment/Invoice,Receipt cannot be generated,Low,2.47,2.43,Closed,Yes,Within 8 Hours
HD0070,3/3/2026,Student,College of Food Science,Portal,Programme information not updating,Low,5.94,0.97,Closed,Yes,Within 8 Hours
HD0071,1/10/2026,Postgraduate Student,College of Computing Sciences,Hardware,Desktop computer not starting,High,1.7,22.74,Closed,Yes,Within 8 Hours
HD0072,7/3/2026,Staff,College of Veterinary Medicine,Internet/Network,Wi-Fi connection unstable,Medium,1.07,6.89,Closed,Yes,Within 8 Hours
HD0073,3/25/2026,Student,College of Food Science,Payment/Invoice,Payment not reflecting on portal,High,1.73,11.64,Closed,Yes,Within 8 Hours
HD0074,1/24/2026,Staff,College of Environmental Resources,Portal,Portal session keeps expiring,Medium,1.32,1.68,Closed,Yes,Within 8 Hours
HD0075,2/4/2026,Student,Registry,Software/MIS,Software installation request,High,2,29.77,Pending,No,Within 8 Hours
HD0076,1/8/2026,Postgraduate Student,College of Agricultural Management,Portal,Student profile not displaying correctly,Low,4.36,40.54,Pending,No,Within 8 Hours
HD0077,7/11/2026,Staff,College of Veterinary Medicine,Portal,Portal session keeps expiring,Medium,1.79,4.62,Closed,Yes,Within 8 Hours
HD0078,6/5/2026,Postgraduate Student,College of Plant Science,ID Card,Unable to process ID card,Medium,3.05,2.69,Closed,Yes,Within 8 Hours
HD0079,6/10/2026,Student,Student Affairs,Website/Multimedia,Multimedia support request,Low,10.6,2.95,Closed,Yes,Beyond 8 Hours
HD0080,4/2/2026,Postgraduate Student,Bursary,Payment/Invoice,Receipt cannot be generated,Low,1.97,4.6,Closed,Yes,Within 8 Hours
HD0081,5/10/2026,Student,College of Plant Science,Email,Unable to access staff email,Low,2.22,4.17,Closed,Yes,Within 8 Hours
HD0082,4/18/2026,Staff,College of Veterinary Medicine,Internet/Network,Slow Internet connection,Medium,4.92,9.81,Closed,Yes,Within 8 Hours
HD0083,5/25/2026,Student,College of Plant Science,Payment/Invoice,Outstanding invoice still showing after payment,Medium,4.42,7.19,Closed,Yes,Within 8 Hours
HD0084,7/14/2026,Student,Library,Admission,Admission status not displaying,Medium,4.09,16.77,Closed,Yes,Within 8 Hours
HD0085,6/4/2026,Student,Library,Hardware,Printer not responding,High,1.31,28.03,In Progress,No,Within 8 Hours
HD0086,7/5/2026,Postgraduate Student,Student Affairs,Payment/Invoice,Invoice not generated,Medium,1.59,3.24,Closed,Yes,Within 8 Hours
HD0087,8/15/2026,Student,College of Plant Science,Internet/Network,Network connection unavailable,Medium,2.49,10.31,Pending,No,Within 8 Hours
HD0088,1/18/2026,Staff,College of Animal Science,Portal,Portal session keeps expiring,Medium,3.03,6.8,Closed,Yes,Within 8 Hours
HD0089,1/18/2026,Student,ICTREC,Website/Multimedia,University webpage not updating,Medium,2.62,36.51,Closed,Yes,Within 8 Hours
HD0090,6/9/2026,Staff,Registry,Software/MIS,MIS application not responding,Low,3.29,21.49,Closed,Yes,Within 8 Hours
HD0091,4/24/2026,Student,Academic Planning,ID Card,Unable to process ID card,Low,5.36,1.34,Closed,Yes,Within 8 Hours
HD0092,1/25/2026,Staff,Registry,ID Card,ID card details incorrect,Medium,1.44,5.85,Closed,Yes,Within 8 Hours
HD0093,5/5/2026,Student,Bursary,Internet/Network,Wi-Fi connection unstable,Medium,2.3,9.72,Closed,Yes,Within 8 Hours
HD0094,3/13/2026,Postgraduate Student,Student Affairs,Internet/Network,Slow Internet connection,Low,4.93,32.25,Pending,No,Within 8 Hours
HD0095,8/4/2026,Student,College of Plant Science,Admission,Admission application issue,Medium,1.63,1.83,Closed,Yes,Within 8 Hours
HD0096,5/4/2026,Staff,College of Environmental Resources,Portal,Programme information not updating,High,1.17,8.82,Closed,Yes,Within 8 Hours
HD0097,3/28/2026,Student,College of Animal Science,Admission,O'Level verification problem,Low,4.27,3.65,Closed,Yes,Within 8 Hours
HD0098,8/3/2026,Student,College of Veterinary Medicine,Portal,Programme information not updating,Medium,2.86,19.96,Closed,Yes,Within 8 Hours
HD0099,2/20/2026,Student,College of Animal Science,Portal,Programme information not updating,Medium,1.6,24.31,In Progress,No,Within 8 Hours
HD0100,1/31/2026,Student,College of Animal Science,Software/MIS,Software installation request,Medium,2.68,19.85,Pending,No,Within 8 Hours
HD0101,2/3/2026,Student,College of Agricultural Management,Admission,Admission portal error,Low,4.63,22.98,In Progress,No,Within 8 Hours
HD0102,4/7/2026,Student,College of Plant Science,Email,Email messages not being received,Medium,4.72,9.09,Closed,Yes,Within 8 Hours
HD0103,4/27/2026,Postgraduate Student,Library,Registration,Unable to submit course registration,Medium,1.22,26.36,In Progress,No,Within 8 Hours
HD0104,1/8/2026,Postgraduate Student,College of Environmental Resources,Portal,Portal page not loading,Medium,3.45,5.55,Closed,Yes,Within 8 Hours
HD0105,8/31/2026,Student,College of Animal Science,Portal,Unable to login to student portal,Medium,3.45,48.6,Closed,Yes,Within 8 Hours
HD0106,4/13/2026,Student,College of Animal Science,Registration,Course allocation not updating,Low,5.2,5.93,Closed,Yes,Within 8 Hours
HD0107,4/21/2026,Postgraduate Student,ICTREC,Email,University email not working,Low,6.42,3.82,Closed,Yes,Within 8 Hours
HD0108,6/4/2026,Staff,ICTREC,Hardware,Desktop computer not starting,Low,3.2,6.82,Closed,Yes,Within 8 Hours
HD0109,4/11/2026,Student,College of Animal Science,ID Card,ID card not yet available,Medium,1.7,3.67,Closed,Yes,Within 8 Hours
HD0110,4/20/2026,Staff,Library,Payment/Invoice,Outstanding invoice still showing after payment,Medium,1.99,5.8,Closed,Yes,Within 8 Hours
HD0111,6/20/2026,Postgraduate Student,College of Agricultural Management,Admission,O'Level verification problem,Critical,2.86,26.8,In Progress,No,Within 8 Hours
HD0112,4/27/2026,Postgraduate Student,College of Environmental Resources,Portal,Student profile not displaying correctly,High,2.19,1.77,Closed,Yes,Within 8 Hours
HD0113,3/13/2026,Postgraduate Student,College of Agricultural Management,Clearance,Unable to complete online clearance,Low,2.93,5.75,Closed,Yes,Within 8 Hours
HD0114,7/7/2026,Student,College of Engineering,Admission,Admission portal error,Medium,2.69,26.49,In Progress,No,Within 8 Hours
HD0115,4/26/2026,Staff,College of Veterinary Medicine,Email,Password reset required for email,Critical,0.54,37.94,In Progress,No,Within 8 Hours
HD0116,3/21/2026,Student,College of Food Science,Admission,Change of course not reflecting,High,1,28.58,Closed,Yes,Within 8 Hours
HD0117,6/12/2026,Student,College of Environmental Resources,Registration,Registered course not displaying,Low,3.9,7.75,Closed,Yes,Within 8 Hours
HD0118,8/23/2026,Student,College of Animal Science,Registration,Unable to submit course registration,Medium,8.45,43.85,Pending,No,Beyond 8 Hours
HD0119,6/30/2026,Student,College of Engineering,Admission,Admission portal error,Low,1.25,3.01,Closed,Yes,Within 8 Hours
HD0120,4/6/2026,Student,College of Agricultural Management,Software/MIS,System error during data entry,Low,2.64,6.38,Closed,Yes,Within 8 Hours
HD0121,6/29/2026,Staff,College of Computing Sciences,Others,System access request,Low,2.46,46.89,Pending,No,Within 8 Hours
HD0122,7/29/2026,Student,Academic Planning,Clearance,Clearance record not displaying,High,1.98,11.61,Closed,Yes,Within 8 Hours
HD0123,6/19/2026,Student,Postgraduate School,ID Card,ID card details incorrect,Medium,1.34,3.44,Closed,Yes,Within 8 Hours
HD0124,7/15/2026,Student,College of Environmental Resources,Hardware,Keyboard or mouse not working,High,1.16,17.41,Closed,Yes,Within 8 Hours
HD0125,8/5/2026,Postgraduate Student,Academic Planning,Internet/Network,Network connection unavailable,Medium,6.87,7.95,Closed,Yes,Within 8 Hours
HD0126,1/24/2026,Staff,Student Affairs,Clearance,Clearance record not displaying,High,0.75,12.01,Closed,Yes,Within 8 Hours
HD0127,1/8/2026,Postgraduate Student,College of Agricultural Management,Student Information,Student information request,Medium,8.35,7.77,Closed,Yes,Beyond 8 Hours
HD0128,9/2/2026,Staff,College of Veterinary Medicine,Portal,Student profile not displaying correctly,Medium,1.13,2.9,Closed,Yes,Within 8 Hours
HD0129,6/19/2026,Student,Academic Planning,Admission,Admission portal error,Medium,5.22,3.09,Closed,Yes,Within 8 Hours
HD0130,5/11/2026,Postgraduate Student,Student Affairs,Software/MIS,System error during data entry,Low,4.85,12.7,Closed,Yes,Within 8 Hours
HD0131,7/14/2026,Postgraduate Student,Bursary,Internet/Network,Slow Internet connection,Medium,1.56,5.88,Closed,Yes,Within 8 Hours
HD0132,6/11/2026,Student,Bursary,Email,Email messages not being received,Medium,0.44,2.36,Closed,Yes,Within 8 Hours
HD0133,4/7/2026,Student,Library,Student Information,Academic information not updated,Medium,2.26,1.77,Closed,Yes,Within 8 Hours
HD0134,2/5/2026,Postgraduate Student,College of Veterinary Medicine,Admission,Change of course not reflecting,Low,9.33,40.62,In Progress,No,Beyond 8 Hours
HD0135,2/6/2026,Student,College of Veterinary Medicine,Portal,Programme information not updating,Critical,0.63,20.05,Pending,No,Within 8 Hours
HD0136,3/30/2026,Postgraduate Student,Library,Software/MIS,Application access problem,Low,8.4,39.12,Pending,No,Beyond 8 Hours
HD0137,2/2/2026,Postgraduate Student,Bursary,Email,Unable to access staff email,Medium,4.93,4.61,Closed,Yes,Within 8 Hours
HD0138,2/6/2026,Student,College of Engineering,Portal,Portal page not loading,Medium,1.52,28.1,Pending,No,Within 8 Hours
HD0139,3/2/2026,Student,College of Engineering,Admission,Admission portal error,Medium,2.9,7.82,In Progress,No,Within 8 Hours
HD0140,1/20/2026,Postgraduate Student,College of Plant Science,Hardware,Keyboard or mouse not working,Medium,2.7,41.59,In Progress,No,Within 8 Hours
HD0141,1/21/2026,Student,Academic Planning,Registration,Course allocation not updating,Low,4.04,15.34,Closed,Yes,Within 8 Hours
HD0142,5/1/2026,Student,College of Engineering,ID Card,Unable to process ID card,Critical,1.91,3.13,Closed,Yes,Within 8 Hours
HD0143,4/30/2026,Student,College of Veterinary Medicine,Registration,Registration page not responding,Medium,8.4,23.38,In Progress,No,Beyond 8 Hours
HD0144,3/11/2026,Staff,College of Agricultural Management,Software/MIS,Application error during transaction,Medium,2.39,9.85,Closed,Yes,Within 8 Hours
HD0145,7/13/2026,Staff,Registry,Internet/Network,Wi-Fi connection unstable,High,1.75,11.63,Closed,Yes,Within 8 Hours
HD0146,4/20/2026,Student,College of Environmental Resources,Portal,Programme information not updating,Medium,2.32,2.88,Closed,Yes,Within 8 Hours
HD0147,4/5/2026,Postgraduate Student,College of Food Science,Admission,Admission status not displaying,Critical,0.58,13.9,Closed,Yes,Within 8 Hours
HD0148,2/3/2026,Student,Library,Registration,Course registration error,Medium,3.16,30.11,Pending,No,Within 8 Hours
HD0149,1/11/2026,Postgraduate Student,Postgraduate School,Software/MIS,Application access problem,Medium,4.26,8.21,Closed,Yes,Within 8 Hours
HD0150,4/1/2026,Student,Bursary,ID Card,ID card not yet available,Medium,4.07,6.44,Closed,Yes,Within 8 Hours
HD0151,1/12/2026,Student,College of Environmental Resources,Internet/Network,Slow Internet connection,Low,2.41,2.32,Closed,Yes,Within 8 Hours
HD0152,7/22/2026,Staff,College of Engineering,Email,Unable to access staff email,Medium,3.92,31.04,In Progress,No,Within 8 Hours
HD0153,4/23/2026,Student,Bursary,Website/Multimedia,Website page not displaying correctly,Low,3.76,7.27,Closed,Yes,Within 8 Hours
HD0154,6/5/2026,Student,College of Plant Science,Registration,Course registration error,Medium,5.25,13.07,Closed,Yes,Within 8 Hours
HD0155,2/28/2026,Student,College of Environmental Resources,Admission,Admission status not displaying,Low,5.13,38.09,Pending,No,Within 8 Hours
HD0156,7/4/2026,Student,College of Food Science,Payment/Invoice,Receipt cannot be generated,Low,3.37,6.13,Closed,Yes,Within 8 Hours
HD0157,8/28/2026,Student,Registry,Email,Email messages not being received,High,2.36,20.26,Closed,Yes,Within 8 Hours
HD0158,3/29/2026,Student,College of Food Science,Payment/Invoice,Receipt cannot be generated,Low,7.79,3.04,Closed,Yes,Within 8 Hours
HD0159,3/8/2026,Postgraduate Student,Academic Planning,Student Information,Matriculation information issue,Low,5.53,1.77,Closed,Yes,Within 8 Hours
HD0160,1/24/2026,Student,Student Affairs,Registration,Unable to submit course registration,Low,4.54,2.6,Closed,Yes,Within 8 Hours
HD0161,6/19/2026,Postgraduate Student,Library,Portal,Student profile not displaying correctly,Medium,2.74,15.92,Pending,No,Within 8 Hours
HD0162,1/24/2026,Student,Bursary,Portal,Programme information not updating,Low,2.42,8.44,Closed,Yes,Within 8 Hours
HD0163,8/29/2026,Staff,College of Animal Science,Hardware,Computer system performance is slow,High,0.86,33.01,In Progress,No,Within 8 Hours
HD0164,3/23/2026,Staff,ICTREC,Others,Request for technical assistance,Low,7.18,30.84,Pending,No,Within 8 Hours
HD0165,1/24/2026,Student,College of Animal Science,Payment/Invoice,Payment not reflecting on portal,Low,5.36,4.51,Closed,Yes,Within 8 Hours
HD0166,5/26/2026,Student,College of Environmental Resources,Others,Other ICT service issue,Medium,2.58,37.03,In Progress,No,Within 8 Hours
HD0167,2/12/2026,Postgraduate Student,College of Veterinary Medicine,Portal,Portal page not loading,Medium,2.71,24.92,In Progress,No,Within 8 Hours
HD0168,3/9/2026,Staff,College of Food Science,Software/MIS,Application error during transaction,Medium,4.45,6.11,Closed,Yes,Within 8 Hours
HD0169,3/18/2026,Postgraduate Student,College of Plant Science,Others,Other ICT service issue,Low,2.41,1.76,Closed,Yes,Within 8 Hours
HD0170,1/21/2026,Postgraduate Student,College of Environmental Resources,Hardware,Desktop computer not starting,High,1.88,6.74,Closed,Yes,Within 8 Hours
HD0171,6/3/2026,Staff,College of Food Science,Email,Mailbox access problem,High,0.95,6.83,Closed,Yes,Within 8 Hours
HD0172,1/26/2026,Staff,College of Food Science,Clearance,Clearance submission error,Low,4.35,2.04,Closed,Yes,Within 8 Hours
HD0173,5/15/2026,Postgraduate Student,College of Veterinary Medicine,Payment/Invoice,Outstanding invoice still showing after payment,Low,2.93,3.49,Closed,Yes,Within 8 Hours
HD0174,2/13/2026,Staff,College of Engineering,Payment/Invoice,Receipt cannot be generated,Low,1.71,1.2,Closed,Yes,Within 8 Hours
HD0175,1/14/2026,Student,College of Plant Science,Software/MIS,Application access problem,High,1.01,7.45,Closed,Yes,Within 8 Hours
HD0176,8/5/2026,Postgraduate Student,Bursary,Website/Multimedia,Website page not displaying correctly,Medium,3.08,10.36,Closed,Yes,Within 8 Hours
HD0177,4/28/2026,Postgraduate Student,College of Computing Sciences,ID Card,Unable to process ID card,Medium,4.17,3.86,Closed,Yes,Within 8 Hours
HD0178,7/24/2026,Staff,Library,Hardware,Computer system performance is slow,Low,3.76,2.17,Closed,Yes,Within 8 Hours
HD0179,3/18/2026,Staff,College of Veterinary Medicine,Software/MIS,Application access problem,Critical,0.79,27.12,Pending,No,Within 8 Hours
HD0180,6/18/2026,Postgraduate Student,Postgraduate School,Registration,Registration page not responding,Low,4.54,1.65,Closed,Yes,Within 8 Hours
HD0181,3/15/2026,Student,College of Plant Science,Payment/Invoice,Payment not reflecting on portal,Low,5.06,8.12,Closed,Yes,Within 8 Hours
HD0182,8/31/2026,Staff,Academic Planning,Email,Unable to access staff email,High,1.41,7.57,Closed,Yes,Within 8 Hours
HD0183,3/27/2026,Postgraduate Student,College of Engineering,Portal,Portal page not loading,Medium,3.8,41.25,In Progress,No,Within 8 Hours
HD0184,7/4/2026,Student,Student Affairs,ID Card,Unable to process ID card,Medium,2.94,4.31,Closed,Yes,Within 8 Hours
HD0185,5/20/2026,Student,Library,ID Card,ID card details incorrect,Medium,2.74,2.59,Closed,Yes,Within 8 Hours
HD0186,7/27/2026,Student,Student Affairs,Hardware,Desktop computer not starting,Low,3.85,5.76,Closed,Yes,Within 8 Hours
HD0187,3/7/2026,Staff,College of Environmental Resources,Portal,Programme information not updating,Low,8.44,4.04,Closed,Yes,Beyond 8 Hours
HD0188,1/26/2026,Student,Library,Payment/Invoice,Outstanding invoice still showing after payment,Medium,8.5,3.34,Closed,Yes,Beyond 8 Hours
HD0189,5/5/2026,Student,Postgraduate School,Payment/Invoice,Outstanding invoice still showing after payment,Medium,4.2,6.2,Closed,Yes,Within 8 Hours
HD0190,7/11/2026,Student,College of Computing Sciences,Payment/Invoice,Payment confirmation delayed,High,5,4.14,Closed,Yes,Within 8 Hours
HD0191,4/1/2026,Postgraduate Student,College of Food Science,Portal,Student profile not displaying correctly,Low,2.39,13.35,Pending,No,Within 8 Hours
HD0192,1/21/2026,Staff,College of Food Science,Hardware,Scanner malfunction,Medium,0.81,5.43,Closed,Yes,Within 8 Hours
HD0193,3/25/2026,Student,College of Computing Sciences,Student Information,Student record not displaying,High,0.99,5.57,Closed,Yes,Within 8 Hours
HD0194,3/19/2026,Postgraduate Student,College of Animal Science,Others,Request for technical assistance,Low,4.59,7.34,Closed,Yes,Within 8 Hours
HD0195,8/20/2026,Postgraduate Student,College of Engineering,Hardware,Keyboard or mouse not working,Low,6.41,2.86,Closed,Yes,Within 8 Hours
HD0196,7/28/2026,Student,Bursary,Registration,Course allocation not updating,Medium,1.59,7.15,Closed,Yes,Within 8 Hours
HD0197,2/20/2026,Postgraduate Student,College of Agricultural Management,Software/MIS,Application error during transaction,Medium,1.26,22.11,Closed,Yes,Within 8 Hours
HD0198,2/16/2026,Student,Student Affairs,Payment/Invoice,Payment confirmation delayed,Medium,4.97,4.05,Closed,Yes,Within 8 Hours
HD0199,6/17/2026,Postgraduate Student,Academic Planning,Payment/Invoice,Payment confirmation delayed,Medium,1.01,45.81,In Progress,No,Within 8 Hours
HD0200,2/14/2026,Postgraduate Student,College of Agricultural Management,Portal,Student profile not displaying correctly,Medium,2.44,12,In Progress,No,Within 8 Hours
HD0201,4/13/2026,Student,Registry,ID Card,ID card details incorrect,High,0.62,7.36,In Progress,No,Within 8 Hours
HD0202,4/8/2026,Staff,College of Engineering,Internet/Network,Network connection unavailable,Medium,2.61,14.77,Closed,Yes,Within 8 Hours
HD0203,5/28/2026,Staff,College of Computing Sciences,ID Card,ID card details incorrect,Medium,2.03,6.41,Closed,Yes,Within 8 Hours
HD0204,8/27/2026,Postgraduate Student,College of Animal Science,Hardware,Printer not responding,Critical,0.44,14.41,In Progress,No,Within 8 Hours
HD0205,1/27/2026,Student,College of Animal Science,Portal,Portal page not loading,High,1.6,46.64,Pending,No,Within 8 Hours
HD0206,3/22/2026,Postgraduate Student,College of Engineering,Others,General ICT support request,Medium,3.85,35.9,Pending,No,Within 8 Hours
HD0207,7/26/2026,Student,College of Engineering,Clearance,Clearance process showing incomplete,Low,1.63,6.5,Closed,Yes,Within 8 Hours
